pos_in_book1,pos_in_book2,sentence_book1,sentence_book2,score,overlap_chars
185,24,فِي طَلْعَةِ الشَّمْسِ مَا يُغْنِيكَ عَنْ زُحَلِ,في طلعة الشمس ما يغنيك عن زحل,100,29
185,24,فِي طَلْعَةِ الشَّمْسِ مَا يُغْنِيكَ عَنْ زُحَلِ,في طلعة الشمس ما يغنيك عن زحل,100,29
1302,24,خُذْ مَا تَرَاهُ وَدَعْ شَيْئًا سَمِعْتَ بِهِ,خذ ما تراه ودع شيئاً سمعت به,100,27
417,58,لَا تَنْهَ عَنْ خُلُقٍ وَتَأْتِيَ مِثْلَهُ,لا تنه عن خلق وتأتي مثله,100,24
934,9,وَرُوِّينَا عَنِ الشَّافِعِيِّ رَضِيَ اللَّهُ تَعَالَى عَنْهُ أَنَّهُ قَالَ:طَلَبُ الْعِلْمِ أَفْضَلُ مِنْ صَلَاةِ النَّافِلَةِ,وَقَالَ الشَّافِعِيُّ رَضِيَ اللَّهُ عَنْهُ طَلَبُ الْعِلْمِ أفضل من النافلة,94,49
185,24,خُذْ مَا رَأَيْتَ وَدَعْ شَيْئًا سَمِعْتَ بِهِ,خذ ما تراه ودع شيئاً سمعت به,92,25
1454,4,"وَأَيْنَ قَوْلُهُ:"" مَا وَحَّدَ الْوَاحِدَ مِنْ وَاحِدٍ ""مِنْ قَوْلِهِ تَعَالَى:{شَهِدَ اللَّهُ أَنَّهُ لَا إِلَهَ إِلَّا هُوَ وَالْمَلَائِكَةُ وَأُولُو الْعِلْمِ قَائِمًا بِالْقِسْطِ}[آل عمران: ١٨]",شواهدها من القرآن قَوْلُهُ عَزَّ وَجَلَّ شَهِدَ اللَّهُ أَنَّهُ لَا إِلَهَ إِلَّا هُوَ وَالْمَلَائِكَةُ وَأُولُو الْعِلْمِ قَائِمًا بالقسط فانظر,83,77
1257,5,مِنْهَا:قَوْلُهُ تَعَالَى:{يَابَنِي آدَمَ قَدْ أَنْزَلْنَا عَلَيْكُمْ لِبَاسًا يُوَارِي سَوْآتِكُمْ وَرِيشًا وَلِبَاسُ التَّقْوَى ذَلِكَ خَيْرٌ}[الأعراف: ٢٦],وقيل في قوله تعالى يا بني آدم قد أنزلنا عليكم لباسا يواري سوءاتكم يعني العلم وريشاً يعني اليقين ولباس التقوى يعني الحياء,79,81
1247,50,وَسَيَأْتِي فِي بَابِ الْوُجُودِ مَزِيدٌ لِهَذَا إِنْ شَاءَ اللَّهُ تَعَالَى,وسيأتيك فيه مزيد بيان وإيضاح إن شاء الله تعالى,78,34
711,100,وَقَالَ بَعْضُ الْعَارِفِينَ:ذَنْبٌ أَذْنَبْتُهُ,وقال بعض العارفين إفشاء سر الربوبية كفر,75,22
714,75,وَهَذَا الْقَدْرُ كَافٍ فِي هَذَا الْمَوْضِعِ,وهذا القدر كاف في معنى اللفظ الآن,75,21
941,31,بِخِلَافِ مَا دُونَهُ مِنَ الْعُلُومِ,[بيان ما بدل من ألفاظ العلوم],72,17
879,86,وَالثَّانِي:الْمُرَادُ بِهِ الْمُقَابَلَةُ,والثاني هو الفرع الأقرب إليه,70,16
